"002471,0.01,,,,,,,,,,,,,,,,,,"
"001997,12.00,,,,,,,,,,20.00,,,,,,,,"
"001212,5.00,,,,,,,,,,,,,,,,,,"
"002366,,,,,,,,,,,,,,,,,,,"
"002432,,,,,,,,,,,,,,,,,,,"
"001888,,,,,,,,,,,,,,,,,,,"
"001006,,,,,,,,,,,,,,,,,,,"
"002472,,,,,,,,,,,,,,,,,,,"
"002420,,,,,,,,,,,,,,,,,,,"
"001350,,,,,,,,,,,,,,,,,,,"
"001021,,,,,,,,,,,,,,,,,,,"
"002405,,,,,,,,,,,,,,,,,,,"
"002312,,,,,,,,,,,,,,,,,,,"
"002017,,,,,,,,,,,,,,,,,,,"
"001647,,,,,,,,,,,,,,,,,,,"
"002449,,,,,,,,,,,,,,,,,,,"
"002137,,,,,,,,,,,,,,,,,,,"
"001122,,,,,,,,,,,,,,,,,,,"
"002393,,,,,,,,,,,,,,,,,,,"
"001519,,,,,,,,,,,,,,,,,,,"
"002270,,,,,,,,,,,,,,,,,,,"
"002242,,,,,,,,,,,,,,,,,,,"
"002448,,,,,,,,,,,,,,,,,,,"
"002032,,,,,,,,,,,,,,,,,,,"
"002197,,,,,,,,,,,,,,,,,,,"
"002508,,,,,,,,,,,,,,,,,,,"
"002513,,,,,,,,,,,,,,,,,,,"
"002504,,,,,,,,,,,,,,,,,,,"
"002509,,,,,,,,,,,,,,,,,,,"
"002515,,,,,,,,,,,,,,,,,,,"
"002398,,,,,,,,,,,,,,,,,,,"
